"PlotVisit","gForbs","gGrass","gHerb","PlotID","Date"
"322.2014-06-09",17.9599551,51.3732049,69.33316,"322","2014-06-09"
"322.2014-06-30",3.599991,32.2265861,35.8265771,"322","2014-06-30"
"322.2014-09-04",1.1599971,96.399759,97.5597561,"322","2014-09-04"
"323.2014-06-09",0,48.5598786,48.5598786,"323","2014-06-09"
"323.2014-06-30",4.5466553,64.3198392,68.8664945,"323","2014-06-30"
"323.2014-09-04",1.733329,38.6399034,40.3732324,"323","2014-09-04"
"325.2014-05-27",36.1065764,54.0665315,90.1731079,"325","2014-05-27"
"325.2014-07-10",68.2131628,86.5864502,154.799613,"325","2014-07-10"
"325.2014-08-12",43.7598906,41.0398974,84.799788,"325","2014-08-12"
"325.2014-09-03",36.7599081,78.0798048,114.8397129,"325","2014-09-03"
"325.2014-09-22",23.9066069,18.9199527,42.8265596,"325","2014-09-22"
"325.2015-05-25",32.2532527,9.3866432,41.6398959,"325","2015-05-25"
"325.2015-06-15",50.66654,55.3198617,105.9864017,"325","2015-06-15"
"325.2015-07-06",23.1732754,21.33328,44.5065554,"325","2015-07-06"
"325.2015-08-05",16.2532927,3.8399904,20.0932831,"325","2015-08-05"
"325.2015-09-11",12.3733024,2.6133268,14.9866292,"325","2015-09-11"
"325.2015-09-23",8.0399799,6.7333165,14.7732964,"325","2015-09-23"
"326.2014-05-20",25.999935,10.0399749,36.0399099,"326","2014-05-20"
"326.2014-06-16",5.0266541,42.5198937,47.5465478,"326","2014-06-16"
"326.2014-07-10",24.7466048,35.9865767,60.7331815,"326","2014-07-10"
"326.2014-08-12",17.6399559,32.399919,50.0398749,"326","2014-08-12"
"326.2014-09-03",8.533312,25.066604,33.599916,"326","2014-09-03"
"326.2014-09-22",39.1199022,14.2399644,53.3598666,"326","2014-09-22"
"326.2015-05-25",17.8932886,17.4532897,35.3465783,"326","2015-05-25"
"326.2015-06-15",3.2266586,24.0799398,27.3065984,"326","2015-06-15"
"326.2015-07-06",11.99997,18.8399529,30.8399229,"326","2015-07-06"
"326.2015-08-05",8.4133123,14.3466308,22.7599431,"326","2015-08-05"
"326.2015-09-11",13.7732989,15.1332955,28.9065944,"326","2015-09-11"
"326.2015-09-23",2.2399944,5.4799863,7.7199807,"326","2015-09-23"
"340.2014-05-21",10.8666395,34.8532462,45.7198857,"340","2014-05-21"
"340.2014-06-16",1.9466618,48.6932116,50.6398734,"340","2014-06-16"
"340.2014-07-10",21.1199472,107.1197322,128.2396794,"340","2014-07-10"
"340.2014-08-13",72.6931516,122.8396929,195.5328445,"340","2014-08-13"
"340.2014-09-03",6.1466513,81.3864632,87.5331145,"340","2014-09-03"
"340.2014-09-22",62.1865112,73.5064829,135.6929941,"340","2014-09-22"
"340.2015-05-27",13394.3131808,26.1199347,13420.4331155,"340","2015-05-27"
"340.2015-06-16",45.3865532,40.9465643,86.3331175,"340","2015-06-16"
